2021-05-07 14:14:46,499 - Start training !
2021-05-07 14:14:46,499 - Start training ... 

2021-05-07 14:17:25,029 - [TRAIN] TOTAL STEP:    742/1655100	 cls loss: 3.023	 iou loss: 1.904	 avg loss: 98.525612	 lr: 0.007413
2021-05-07 14:17:29,699 - [TRAIN] TOTAL STEP:    762/1655100	 cls loss: 2.246	 iou loss: 3.000	 avg loss: 96.087354	 lr: 0.007612
2021-05-07 14:17:33,450 - [TRAIN] TOTAL STEP:    782/1655100	 cls loss: 1.667	 iou loss: 1.923	 avg loss: 93.762635	 lr: 0.007812
2021-05-07 14:17:37,265 - [TRAIN] TOTAL STEP:    802/1655100	 cls loss: 1.510	 iou loss: 2.793	 avg loss: 91.550733	 lr: 0.008012
2021-05-07 14:17:41,114 - [TRAIN] TOTAL STEP:    822/1655100	 cls loss: 2.865	 iou loss: 1.614	 avg loss: 89.449646	 lr: 0.008212
2021-05-07 14:17:45,970 - [TRAIN] TOTAL STEP:    842/1655100	 cls loss: 2.954	 iou loss: 1.870	 avg loss: 87.446242	 lr: 0.008412
2021-05-07 14:17:49,738 - [TRAIN] TOTAL STEP:    862/1655100	 cls loss: 2.190	 iou loss: 3.627	 avg loss: 85.549201	 lr: 0.008611
2021-05-07 14:17:53,636 - [TRAIN] TOTAL STEP:    882/1655100	 cls loss: 2.200	 iou loss: 1.227	 avg loss: 83.743515	 lr: 0.008811
2021-05-07 14:17:57,477 - [TRAIN] TOTAL STEP:    902/1655100	 cls loss: 1.803	 iou loss: 1.005	 avg loss: 82.010443	 lr: 0.009011
2021-05-07 14:18:01,217 - [TRAIN] TOTAL STEP:    922/1655100	 cls loss: 2.888	 iou loss: 2.200	 avg loss: 80.358294	 lr: 0.009211
2021-05-07 14:18:05,042 - [TRAIN] TOTAL STEP:    942/1655100	 cls loss: 3.005	 iou loss: 3.004	 avg loss: 78.764777	 lr: 0.009411
2021-05-07 14:18:08,872 - [TRAIN] TOTAL STEP:    962/1655100	 cls loss: 3.580	 iou loss: 4.258	 avg loss: 77.266227	 lr: 0.009610
2021-05-07 14:18:12,672 - [TRAIN] TOTAL STEP:    982/1655100	 cls loss: 2.181	 iou loss: 2.789	 avg loss: 75.805555	 lr: 0.009810
2021-05-07 14:18:17,453 - [TRAIN] TOTAL STEP:   1002/1655100	 cls loss: 3.569	 iou loss: 4.504	 avg loss: 74.429962	 lr: 0.010000
2021-05-07 14:18:21,298 - [TRAIN] TOTAL STEP:   1022/1655100	 cls loss: 2.503	 iou loss: 3.994	 avg loss: 73.093977	 lr: 0.010000
2021-05-07 14:18:25,085 - [TRAIN] TOTAL STEP:   1042/1655100	 cls loss: 2.531	 iou loss: 2.410	 avg loss: 71.801726	 lr: 0.010000
